date,source,true_sleep,true_wake,detected_sleep,detected_wake,sleep_diff_minutes,wake_diff_minutes,sleep_time_error,wake_time_error
2025-01-24,Search History,2025-01-25 02:30:00+00:00,2025-01-24 12:20:00+00:00,2025-01-24 23:33:39.400000+00:00,2025-01-25 05:29:08.457000+00:00,176.34333333333333,1029.14095,-1263,411
2025-01-28,Search History,2025-01-28 23:30:00+00:00,2025-01-29 08:30:00+00:00,2025-01-29 02:38:25.970000+00:00,2025-01-29 10:34:13.539000+00:00,188.43283333333332,124.22565,1252,-124
2025-01-30,Search History,2025-01-30 23:50:00+00:00,2025-01-31 07:30:00+00:00,2025-01-31 00:44:57.784000+00:00,2025-01-31 05:50:20.623000+00:00,54.96306666666667,99.65628333333333,1386,100
2025-01-31,Search History,2025-02-01 02:20:00+00:00,2025-01-31 07:30:00+00:00,2025-02-01 01:15:32.483000+00:00,2025-02-01 05:06:04.231000+00:00,64.45861666666666,1296.0705166666667,65,144
2025-02-04,Search History,2025-02-04 23:40:00+00:00,2025-02-05 06:50:00+00:00,2025-02-05 01:01:59.935000+00:00,2025-02-05 07:28:30.045000+00:00,81.99891666666667,38.500750000000004,1359,-38
2025-02-05,Search History,2025-02-06 02:50:00+00:00,2025-02-05 09:20:00+00:00,2025-02-06 00:31:49.411000+00:00,2025-02-06 09:31:38.226000+00:00,138.17648333333332,1451.6371,139,-11
2025-02-10,Search History,2025-02-11 02:00:00+00:00,2025-02-10 09:00:00+00:00,2025-02-11 00:40:26.504000+00:00,2025-02-11 04:09:58.713000+00:00,79.55826666666667,1149.97855,80,291
2025-02-12,Search History,2025-02-13 02:20:00+00:00,2025-02-12 09:00:00+00:00,2025-02-12 20:05:13.282000+00:00,2025-02-13 04:01:40.379000+00:00,374.77863333333335,1141.6729833333334,-1065,299
2025-02-14,Search History,2025-02-14 23:30:00+00:00,2025-02-15 07:30:00+00:00,2025-02-14 23:03:31.777000+00:00,2025-02-15 04:15:21.919000+00:00,26.470383333333334,194.63468333333333,27,195
2025-02-16,Search History,2025-02-17 01:40:00+00:00,2025-02-16 08:20:00+00:00,2025-02-17 01:58:18.934000+00:00,2025-02-17 09:35:23.175000+00:00,18.315566666666665,1515.38625,-18,-75
2025-02-18,Search History,2025-02-18 22:50:00+00:00,2025-02-19 07:30:00+00:00,2025-02-18 22:32:37.800000+00:00,2025-02-19 04:46:52.618000+00:00,17.37,163.12303333333332,18,164
2025-01-23,Watch History,2025-01-24 05:10:00+00:00,2025-01-23 08:40:00+00:00,2025-01-24 01:16:24.990000+00:00,2025-01-24 06:26:57.048000+00:00,233.58350000000002,1306.9507999999998,234,134
2025-01-24,Watch History,2025-01-25 02:30:00+00:00,2025-01-24 12:20:00+00:00,2025-01-24 23:34:31.385000+00:00,2025-01-25 05:28:03.209000+00:00,175.47691666666665,1028.0534833333334,-1264,412
2025-01-28,Watch History,2025-01-28 23:30:00+00:00,2025-01-29 08:30:00+00:00,2025-01-29 02:38:33.708000+00:00,2025-01-29 09:53:15.331000+00:00,188.5618,83.25551666666667,1252,-83
2025-01-30,Watch History,2025-01-30 23:50:00+00:00,2025-01-31 07:30:00+00:00,2025-01-31 01:14:36.638000+00:00,2025-01-31 05:34:39.241000+00:00,84.61063333333333,115.34598333333334,1356,116
2025-01-31,Watch History,2025-02-01 02:20:00+00:00,2025-01-31 07:30:00+00:00,2025-02-01 01:15:32.483000+00:00,2025-02-01 04:43:26.872000+00:00,64.45861666666666,1273.4478666666666,65,167
2025-02-03,Watch History,2025-02-03 23:40:00+00:00,2025-02-04 04:40:00+00:00,2025-02-04 04:00:41.815000+00:00,2025-02-04 11:45:18.132000+00:00,260.69691666666665,425.3022,1180,-425
2025-02-04,Watch History,2025-02-04 23:40:00+00:00,2025-02-05 06:50:00+00:00,2025-02-05 02:16:07.721000+00:00,2025-02-05 07:28:30.045000+00:00,156.12868333333333,38.500750000000004,1284,-38
2025-02-05,Watch History,2025-02-06 02:50:00+00:00,2025-02-05 09:20:00+00:00,2025-02-06 00:31:56.289000+00:00,2025-02-06 09:31:47.971000+00:00,138.06185,1451.7995166666667,139,-11
2025-02-09,Watch History,2025-02-09 23:30:00+00:00,2025-02-10 07:50:00+00:00,2025-02-09 22:17:43.876000+00:00,2025-02-10 04:22:12.636000+00:00,72.26873333333333,207.7894,73,208
2025-02-12,Watch History,2025-02-13 02:20:00+00:00,2025-02-12 09:00:00+00:00,2025-02-12 20:05:21.449000+00:00,2025-02-13 04:01:40.379000+00:00,374.64251666666667,1141.6729833333334,-1065,299
2025-02-14,Watch History,2025-02-14 23:30:00+00:00,2025-02-15 07:30:00+00:00,2025-02-14 23:03:31.777000+00:00,2025-02-15 04:15:21.919000+00:00,26.470383333333334,194.63468333333333,27,195
2025-02-16,Watch History,2025-02-17 01:40:00+00:00,2025-02-16 08:20:00+00:00,2025-02-17 01:58:28.024000+00:00,2025-02-17 09:30:36.414000+00:00,18.467066666666664,1510.6069,-18,-70
2025-02-18,Watch History,2025-02-18 22:50:00+00:00,2025-02-19 07:30:00+00:00,2025-02-18 22:32:46.519000+00:00,2025-02-19 04:46:00.409000+00:00,17.224683333333335,163.99318333333335,18,164
